Date,Volume
11/05/1981,6624000
12/05/1981,6662400
13/05/1981,4752000
14/05/1981,10608000
15/05/1981,10176000
18/05/1981,10771200
19/05/1981,10262400
20/05/1981,9628800
21/05/1981,10137600
22/05/1981,15014400
26/05/1981,13814400
27/05/1981,14918400
28/05/1981,14726400
29/05/1981,27091200
01/06/1981,11155200
02/06/1981,10896000
03/06/1981,13766400
04/06/1981,8601600
05/06/1981,8419200
08/06/1981,4233600
09/06/1981,5865600
10/06/1981,10780800
11/06/1981,10320000
12/06/1981,11241600
15/06/1981,7324800
16/06/1981,18537600
17/06/1981,7929600
18/06/1981,12499200
19/06/1981,10963200
22/06/1981,3446400
23/06/1981,9868800
24/06/1981,4521600
25/06/1981,4041600
26/06/1981,15321600
29/06/1981,14976000
30/06/1981,10243200
01/07/1981,11414400
02/07/1981,17097600
06/07/1981,13142400
07/07/1981,9484800
08/07/1981,13977600
09/07/1981,10329600
10/07/1981,7238400
13/07/1981,3446400
14/07/1981,9676800
15/07/1981,6902400
16/07/1981,8448000
17/07/1981,6748800
20/07/1981,9792000
21/07/1981,7593600
22/07/1981,6460800
23/07/1981,7612800
24/07/1981,4358400
27/07/1981,6172800
28/07/1981,8400000
29/07/1981,5174400
30/07/1981,7190400
31/07/1981,8745600
03/08/1981,4694400
04/08/1981,12451200
05/08/1981,6249600
06/08/1981,13315200
07/08/1981,4444800
10/08/1981,0
11/08/1981,7939200
12/08/1981,4041600
13/08/1981,8083200
14/08/1981,5616000
17/08/1981,5328000
18/08/1981,4857600
19/08/1981,3484800
20/08/1981,5577600
21/08/1981,8476800
24/08/1981,6441600
25/08/1981,13132800
26/08/1981,8035200
27/08/1981,15868800
28/08/1981,19776000
31/08/1981,5510400
01/09/1981,5856000
02/09/1981,8188800
03/09/1981,30518400
04/09/1981,10867200
08/09/1981,8352000
09/09/1981,7113600
10/09/1981,7392000
11/09/1981,10540800
14/09/1981,9369600
15/09/1981,9888000
16/09/1981,15100800
17/09/1981,21830400
18/09/1981,15580800
21/09/1981,8419200
22/09/1981,11520000
23/09/1981,27763200
24/09/1981,20256000
25/09/1981,12662400
28/09/1981,12835200
29/09/1981,11568000
30/09/1981,12499200
01/10/1981,6681600
02/10/1981,10732800
05/10/1981,12652800
06/10/1981,16569600
07/10/1981,9494400
08/10/1981,30288000
09/10/1981,16694400
12/10/1981,10156800
13/10/1981,7315200
14/10/1981,4320000
15/10/1981,5452800
16/10/1981,7132800
19/10/1981,9888000
20/10/1981,11241600
21/10/1981,11961600
22/10/1981,19507200
23/10/1981,9436800
26/10/1981,8380800
27/10/1981,14121600
28/10/1981,13756800
29/10/1981,11721600
30/10/1981,9139200
02/11/1981,12336000
03/11/1981,13622400
04/11/1981,8505600
05/11/1981,11731200
06/11/1981,15571200
09/11/1981,7699200
10/11/1981,9984000
11/11/1981,9724800
12/11/1981,11020800
13/11/1981,9513600
16/11/1981,5721600
17/11/1981,9302400
18/11/1981,11260800
19/11/1981,20745600
20/11/1981,10867200
23/11/1981,8995200
24/11/1981,9504000
25/11/1981,11644800
27/11/1981,5404800
30/11/1981,10761600
01/12/1981,6748800
02/12/1981,16176000
03/12/1981,9091200
04/12/1981,16838400
07/12/1981,12115200
08/12/1981,6556800
09/12/1981,6278400
10/12/1981,7161600
11/12/1981,9139200
14/12/1981,10425600
15/12/1981,15561600
16/12/1981,4300800
17/12/1981,26832000
18/12/1981,20774400
21/12/1981,17308800
22/12/1981,15244800
23/12/1981,12662400
24/12/1981,3177600
28/12/1981,20073600
29/12/1981,20668800
30/12/1981,12700800
31/12/1981,11088000
04/01/1982,10646400
05/01/1982,11683200
06/01/1982,9331200
07/01/1982,14208000
08/01/1982,17971200
11/01/1982,17030400
12/01/1982,61612800
13/01/1982,9772800
14/01/1982,13065600
15/01/1982,22608000
18/01/1982,12163200
19/01/1982,12960000
20/01/1982,7296000
21/01/1982,17212800
22/01/1982,26140800
25/01/1982,16358400
26/01/1982,18998400
27/01/1982,23932800
28/01/1982,32707200
29/01/1982,19603200
01/02/1982,12960000
02/02/1982,10752000
03/02/1982,8947200
04/02/1982,10464000
05/02/1982,11318400
08/02/1982,14179200
09/02/1982,14889600
10/02/1982,7478400
11/02/1982,6892800
12/02/1982,2592000
16/02/1982,4723200
17/02/1982,6307200
18/02/1982,9302400
19/02/1982,11846400
